system:index,cluster,.geo
217,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.01786352739643,-2.6440113757489865]}"
218,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.91600372274097,3.9343514498582692]}"
219,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.35615534055029,-0.4763765951685812]}"
220,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.23989961993966,0.5494994592959124]}"
221,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.86909336778253,-2.8039114963222627]}"
222,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.57087556486411,0.6725686532202868]}"
223,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.69411984756346,6.644568662046866]}"
224,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.29851094500091,1.3498983774464053]}"
225,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.51877327838517,1.3795427818223498]}"
226,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.97619084677697,0.31324253957247805]}"
227,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.53851334322654,-1.9568001833975526]}"
228,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.90392970367895,0.8073159458382149]}"
229,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.88563609185589,-3.227916310426677]}"
230,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.5426547420972,-2.9925577059873607]}"
231,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.31126244775356,1.0633358018122783]}"
232,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.19448146081803,4.061013904919122]}"
233,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.95964812270363,-2.844335684107641]}"
234,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.78574800654364,0.16681714826099547]}"
235,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.93070407342758,-0.19700054180741056]}"
236,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.24853259523091,-2.196650364257465]}"
